program_class,generation_time_sec,run,seed,evosuite_tests,randoop_tests,evosuite_to_randoop_jaccard,randoop_to_evosuite_jaccard,mean_max_jaccard,evosuite_to_randoop_dice,randoop_to_evosuite_dice,mean_max_dice
LruCache,30,3,303,8,178,0.8705357142857143,0.9129213483146067,0.8917285313001605,0.9255952380952381,0.9497693317918037,0.9376822849435209
LruCache,30,4,404,8,498,0.9861111111111112,0.8389319181487858,0.9125215146299485,0.9926470588235294,0.9111697211626341,0.9519083899930818
LruCache,30,5,505,9,291,0.9435626102292769,0.836589756177385,0.8900761832033309,0.9698340874811464,0.9095453431414621,0.9396897153113042
LruCache,30,6,606,9,148,0.9876543209876544,0.8782282282282281,0.9329412746079413,0.9934640522875817,0.9337227425462719,0.9635933974169268
LruCache,30,7,707,7,240,1.0,0.8546610449735451,0.9273305224867725,1.0,0.918018658901012,0.959009329450506
LruCache,30,8,808,7,93,0.842687074829932,0.912442396313364,0.877564735571648,0.9070643642072213,0.9473644634934956,0.9272144138503584
LruCache,30,9,909,9,138,0.8809523809523809,0.8886300897170463,0.8847912353347136,0.9312169312169313,0.935615109528153,0.9334160203725421
LruCache,30,10,10010,8,147,0.9317956349206349,0.8487744304070833,0.8902850326638592,0.9633347045111751,0.9165851266691603,0.9399599155901677
LruCache,60,1,101,9,1585,1.0,0.8581413048920937,0.9290706524460468,1.0,0.9221014024428387,0.9610507012214193
LruCache,60,2,202,10,1508,1.0,0.8591198791629826,0.9295599395814913,1.0,0.922536046502344,0.961268023251172
LruCache,60,3,303,8,179,0.8705357142857143,0.9134078212290503,0.8919717677573823,0.9255952380952381,0.9500499500499501,0.9378225940725942
LruCache,60,4,404,8,1060,0.9682539682539683,0.8288469601677149,0.8985504642108415,0.9830316742081449,0.9052776179302263,0.9441546460691856
LruCache,60,5,505,9,621,0.91005291005291,0.8358778723513023,0.8729653912021061,0.9506033182503771,0.9091431023798173,0.9298732103150973
LruCache,60,6,606,9,615,1.0,0.8649567686153053,0.9324783843076527,1.0,0.925301651958754,0.962650825979377
LruCache,60,7,707,7,798,1.0,0.8503838962485579,0.925191948124279,1.0,0.9169810597939746,0.9584905298969872
