tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir,uniqueTestMethods
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,2,202,class-family,2,16,0,0,82.65,76.71,84.1,71.43,63,45,17,0,1,,9.647,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run2-seed202\class-family-v1,16
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,3,303,class-family,2,17,0,0,83.67,76.71,84.34,74.6,63,47,15,1,1,,13.87,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run3-seed303\class-family-v1,17
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,4,404,class-family,2,17,0,0,80.61,73.97,79.76,73.02,63,46,15,1,2,,14.335,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run4-seed404\class-family-v1,17
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,5,505,class-family,2,17,0,0,84.69,78.08,84.82,71.43,63,45,18,0,0,,10.877,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run5-seed505\class-family-v1,17
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,6,606,class-family,2,16,0,0,79.59,72.6,79.28,73.02,63,46,14,1,3,,14.61,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run6-seed606\class-family-v1,16
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,7,707,class-family,2,15,0,0,81.63,75.34,83.61,69.84,63,44,17,0,2,,10.067,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run7-seed707\class-family-v1,15
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,8,808,class-family,2,15,0,0,83.67,76.71,84.34,73.02,63,46,16,1,1,,14.551,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run8-seed808\class-family-v1,15
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,9,909,class-family,2,16,0,0,83.67,76.71,84.34,74.6,63,47,15,1,1,,14.851,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run9-seed909\class-family-v1,16
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,10,10010,class-family,2,17,0,0,81.63,75.34,83.61,69.84,63,44,17,0,2,,10.371,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run10-seed10010\class-family-v1,17
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,class-family,7,5142,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,24.897,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run1-seed101\class-family-v1,2571
