tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
Randoop,LruCache,com.viktor.lab4.LruCache,30,4,404,2,996,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,61.465,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run4-seed404
Randoop,LruCache,com.viktor.lab4.LruCache,30,5,505,2,582,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,62.545,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run5-seed505
Randoop,LruCache,com.viktor.lab4.LruCache,30,6,606,2,296,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,52.667,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run6-seed606
Randoop,LruCache,com.viktor.lab4.LruCache,30,7,707,2,480,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,54.222,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run7-seed707
Randoop,LruCache,com.viktor.lab4.LruCache,30,8,808,2,186,0,0,72.73,100.0,72.09,50.0,6,3,2,0,1,,47.2,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run8-seed808
Randoop,LruCache,com.viktor.lab4.LruCache,30,9,909,2,276,0,0,81.82,100.0,83.72,50.0,6,3,3,0,0,,60.666,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run9-seed909
Randoop,LruCache,com.viktor.lab4.LruCache,30,10,10010,2,294,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,33.311,64.827,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\30\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/30/run10-seed10010
Randoop,LruCache,com.viktor.lab4.LruCache,60,1,101,5,3170,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,81.158,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run1-seed101
Randoop,LruCache,com.viktor.lab4.LruCache,60,2,202,5,3016,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,78.303,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run2-seed202
Randoop,LruCache,com.viktor.lab4.LruCache,60,3,303,2,358,0,0,81.82,100.0,83.72,50.0,6,3,3,0,0,,68.234,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run3-seed303
Randoop,LruCache,com.viktor.lab4.LruCache,60,4,404,4,2120,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,70.467,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run4-seed404
Randoop,LruCache,com.viktor.lab4.LruCache,60,5,505,3,1242,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,70.308,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run5-seed505
Randoop,LruCache,com.viktor.lab4.LruCache,60,6,606,3,1230,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,72.698,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run6-seed606
Randoop,LruCache,com.viktor.lab4.LruCache,60,7,707,3,1596,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,64.926,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run7-seed707
Randoop,LruCache,com.viktor.lab4.LruCache,60,8,808,2,328,0,0,72.73,100.0,72.09,50.0,6,3,2,0,1,,64.346,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run8-seed808
Randoop,LruCache,com.viktor.lab4.LruCache,60,9,909,2,530,0,0,81.82,100.0,83.72,50.0,6,3,3,0,0,,60.695,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run9-seed909
Randoop,LruCache,com.viktor.lab4.LruCache,60,10,10010,3,1032,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,69.788,79.593,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\60\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/60/run10-seed10010
Randoop,LruCache,com.viktor.lab4.LruCache,120,1,101,3,1984,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,68.051,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/120/run1-seed101
Randoop,LruCache,com.viktor.lab4.LruCache,120,2,202,4,2570,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,73.855,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/120/run2-seed202
Randoop,LruCache,com.viktor.lab4.LruCache,120,3,303,2,666,0,0,81.82,100.0,83.72,50.0,6,3,3,0,0,,78.354,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/120/run3-seed303
Randoop,LruCache,com.viktor.lab4.LruCache,120,4,404,6,4518,0,0,100.0,100.0,100.0,100.0,6,6,0,0,0,,88.732,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LruCache\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LruCache/120/run4-seed404
