tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,6,606,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,43.225,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run6-seed606
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,7,707,2,7,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,46.364,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run7-seed707
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,8,808,2,7,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,53.184,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run8-seed808
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,9,909,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,54.936,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run9-seed909
EvoSuite,LruCache,com.viktor.lab4.LruCache,60,10,10010,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,80.717,56.452,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\60\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/60/run10-seed10010
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,1,101,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,46.92,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/120/run1-seed101
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,2,202,2,10,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,48.476,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/120/run2-seed202
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,3,303,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,40.864,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/120/run3-seed303
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,4,404,2,8,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,55.369,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/120/run4-seed404
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,5,505,2,9,0,0,100.0,100.0,100.0,83.33,6,5,1,0,0,,46.29,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LruCache\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LruCache/120/run5-seed505
